address
"ABI, 01000, KANGAR, PERLIS"
"JALAN PERMATA 1, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN PERMATA BARU (1 - 2), 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN PERMATA BARU, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN PERMATA INDAH, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN PERMATA JAYA 2, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN PERMATA JAYA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN PERMATA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN PERMATANG RAWA 1, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN PERMATANG RAWA MK.7, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN PERMATANG RAWA MK.8, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN PERMATANG RAWA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN PERNIAGAAN (1 - 3), 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN PERNIAGAAN MAJU (1 - 3), 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN PERNIAGAAN, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN PERPADUAN, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN PERUSAHAAN BUKIT TENGAH, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN PINGGIRAN ALMA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN POW NEE, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN REMIA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN ROZHAN, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN ROZHAN/ALMA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN RUSA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SAUJANA (1/1 - 1/6), 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SAUJANA PERMAI (1 - 8), 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SAUJANA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SEJAHTERA (1 - 6), 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SEJAHTERA INDAH, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SEJAHTERA JAYA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SEJAHTERA RIA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SEJAHTERA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SELADANG, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SELESA RIA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SELESA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SEMANGAT, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SENTOSA KIRI, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SENTOSA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SEPAKAT, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SERI GEMILANG, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SERI IMPIAN 1, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SERI NILAM, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SHAIK ADAM, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SONG BAN KENG, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SRI BUKIT, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SRI JANGGUS, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SRI KIJANG 1, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SRI KIJANG, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SRI MAJU, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SRI PERMAI 2, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SRI PERMAI, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN STESYEN, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN STOWELL, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN SUNGAI RAMBAI, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN TAI SAI GIN (1 - 3), 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN TAMAN BUKIT, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN TAMAN REMIA 1, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN TAMPOI, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN TAN SAI GIN, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN TANAH LIAT MK.8, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN TANAH LIAT, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN TEMBIKAI, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN TENANG, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN TERATAI, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN TOK ELONG, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN TOKUN JAYA 1, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN USAHANIAGA 1, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN USAHANIAGA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN WAJA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"JALAN WONG POW NEE, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG ALMA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG ASTON, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG BARU MK.15, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG BARU, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG BERAPIT UTAMA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG BERAPIT UTARA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG BERAPIT, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG BERSATU BUKIT MINYAK, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG BERSATU BUKIT TENGAH, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG BESAR BERAPIT, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG BESAR, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG BINJAI, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG BUKIT KECIL, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG BUKIT TEH, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG BUKIT TENGAH, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG CHERUK TOKUN, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG CROSS STREET, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG CROSS, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG DOBI, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG DOCK, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG HARAPAN, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG HUMA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG JANGGUS, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG KIJANG, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG NYIOR BUKIT TEH, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG PADANG LALANG MK. 11, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG PAYA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG PERMATANG RAWA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG PISANG, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG TANAH LIAT MK.9, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG TANAH LIAT, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG TANDOP, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG TELOK CERUK TOKUN, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG TOK ELONG, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG TOK KRAMAT, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KAMPUNG TOK PANJANG, 14000, BUKIT MERTAJAM, PULAU PINANG"
"KONGSI 13 MK. 14, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LEBUH ASTON, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LEBUH BINJAI (1 - 3), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LEBUH DAMAI (1 - 2), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LEBUH HARMONI, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LEBUH KERANJI, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LEBUH KOTA PERMAI (1 - 2), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LEBUH MESRA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LEBUH MUHIBBAH, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LEBUH NANGKA (1 - 2), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LEBUH NANGKA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LEBUH PERPADUAN, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LEBUH SRI KIJANG, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LEBUH TAMAN BUKIT, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LEBUH TEMBIKAI, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LEBUHRAYA MESRA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LEMBAH TAMAN BUKIT 1, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LENGKOK BETIK, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LENGKOK BINJAI, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LENGKOK BUKIT KECIL, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LENGKOK INDAH, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LENGKOK KERJASAMA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LENGKOK MUHIBBAH, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LENGKOK PERPADUAN (2 - 3), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LENGKOK PERPADUAN, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LENGKOK TAMAN BUKIT, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LENGKOK TENANG, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LINTANG BAYU MUTIARA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LINTANG BINJAI, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LINTANG BUKIT KECIL 1, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LINTANG BUKIT KECIL, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LINTANG BUKIT MINYAK (1 - 2), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LINTANG CEMPEDAK, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LINTANG DAMAI, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LINTANG IMPIAN MURNI (1 - 7), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LINTANG INANG, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LINTANG INDAH (1 - 2), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LINTANG JAMBU MADU (1 - 6), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LINTANG JANGGUS, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LINTANG KANCIL, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LINTANG KERJASAMA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LINTANG KOTA PERMAI (1 - 29), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LINTANG LIMAU MANIS, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LINTANG MESRA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LINTANG PERMATANG RAWA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LINTANG PERPADUAN, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LINTANG RUSA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LINTANG SEMANGAT, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LINTANG SEPAKAT, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LINTANG TAMAN BUKIT, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LINTANG TEMBIKAI, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG ALMA JAYA (1 - 38), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG ALMA JAYA 2/1, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG AMAN JAYA (4, 6), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG AMAN, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG ASAM PAYA 1, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG ASTON (1 - 3), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG BAYU MUTIARA (2 - 18), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG BELIMBING (1 - 10), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG BELIMBING JAYA (2 - 3), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG BERAPIT INDAH, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG BERJAYA BARU (1 - 4), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG BERJAYA INDAH (1 - 6), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG BERJAYA INDAH (2 - 3), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG BERJAYA SETIA (1 - 5), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG BETIK MANIS (1 - 2), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG BETIK, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG BIDARA (1 - 23), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG BINJAI (1 - 15), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG BINJAI, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG BUDIMAN (1 - 10), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG BUKIT KECIL (1 - 15), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG BUKIT KECIL INDAH 2, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG BUKIT KECIL INDAH, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG BUKIT MINYAK (1 - 26), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG BUKIT MINYAK PERMAI (1 - 6), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG BUKIT MINYAK, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG BUKIT NONING, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG CAMELLIA (2 - 6), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG CASA IDAMAN (1 - 6), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG CEMPEDAK (1 - 3), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG CEMPEDAK, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG CIKU (2 - 3), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG CINA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG DAMAI (1 - 6), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG DESA CAHAYA (1 - 4), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG DESA IMPIAN (1 - 5), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG DESA PALMA (9, 11), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG GASING (1 - 4), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG GEMILANG (1 - 4), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG GEMILANG INDAH (1 - 5), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG GEMILANG RIA (1 - 4), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG GEMILANG, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG HARMONI (1 -2), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG HIJAU, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG IKS BUKIT TENGAH, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG IMPIAN (1 - 23), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG IMPIAN INDAH (2 - 18), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG IMPIAN JAYA (2 - 8), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG IMPIAN MURNI (1 - 7), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG IMPIAN RIA (1 - 11), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG IMPIAN RIA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG INANG, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG INDAH (1 - 5), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG INDAH, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG INDUSTRI (1, 2, 12), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG INDUSTRI ALMA 2, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG INDUSTRI CHERUK TOKUN (1, 2), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG INDUSTRI CHERUK TOKUN JAYA (1, 2), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG JAMBU MADU (1 - 6), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG JANGGUS, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG JASA (1, 4, 6), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG JAYA (1 - 5), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG JERNIH (1 - 7), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG KAMPUNG PAYA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG KANTAN (1 - 2), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG KEKWA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG KERANJI, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG KERJASAMA (1 - 15), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG KIJANG 1 - 3, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG KOTA PERMAI (1 - 20), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG KOTA PERMAI (27, 29), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG KUINI, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG LANGSAT (1 - 8), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG LANGSAT, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG LIMAU MANIS (1 - 6), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG LOBAK (5, 7, 9, 11), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG MACANG BUBUK (14 - 16), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG MAJU JAYA (1 - 2), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG MAJU UTAMA (1 - 2), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG MAJU UTAMA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG MAJU, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG MAKMUR (1 - 2), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG MANGGIS INDAH (2, 4, 6), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG MESRA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG MUHIBBAH, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG NANGKA (1 - 12), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG NANGKA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG NENAS, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG NIRVANA (1 - 15), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG NONING, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG PALMA (1 - 11), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG PALMA 2, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG PALMA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG PENGKALAN (2 - 7), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG PERDA BARAT (3, 4, 6), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG PERDA SELATAN (1 - 2), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG PERDA TIMUR (1 - 25), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG PERDA UTAMA (1 - 13), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG PERMAI JAYA (2 - 13), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG PERMATA (1 - 3), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG PERMATANG BARU (1 - 2), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG PERMATANG RAWA (1 - 2), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG PERNIAGAAN MAJU (1 - 3), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG PERPADUAN 1, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG PERUSAHAAN 1, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG PERUSAHAAN UTAMA 1, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG PINGGIRAN ALMA (1 - 5), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG REMIA (1 - 8), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG RIA (1 - 8), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG ROZHAN (2 - 4), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG RUSA (1 - 7), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG SAUJANA PERMAI (1 - 21), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG SEJAHTERA (1 - 24, 24A, 24B, 25, 26, 27, 28, 29), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG SEJAHTERA 5/1, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG SEJAHTERA JAYA (1 - 3), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG SEJAHTERA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG SELESA (1 - 4), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG SELESA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG SEMANGAT, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG SENTOSA (1, 3, 7), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG SEPAKAT 1 - 4, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG SERI GEMILANG (1 - 5), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG SERI JANGGUS (1 - 5), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG SERI JAYA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG SERI KIJANG (1 - 44), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG SERI NILAM (2, 4, 6), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG SERI PERMAI (1 - 3), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG SURIA AMAN (1 - 14), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG TAMAN BUKIT (1 - 11), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG TAMAN SELASIH 1, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG TAMPOI (3 - 8), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG TAN SAI GIN (2, 4, 6), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG TANAH AMAN (1 - 8), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG TEMBIKAI (1 - 8), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG TEMBIKAI, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG TENANG (1 - 9), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG TERATAI (2, 4), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG TERINAI, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG TOKONG, 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG USAHANIAGA (1 - 5), 14000, BUKIT MERTAJAM, PULAU PINANG"
"LORONG USAHANIAGA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"MACHANG BUBOK, 14000, BUKIT MERTAJAM, PULAU PINANG"
"MEDAN BETIK, 14000, BUKIT MERTAJAM, PULAU PINANG"
"MEDAN BINJAI KECIL, 14000, BUKIT MERTAJAM, PULAU PINANG"
"MEDAN BINJAI, 14000, BUKIT MERTAJAM, PULAU PINANG"
"MEDAN GASING, 14000, BUKIT MERTAJAM, PULAU PINANG"
"MEDAN INDAH, 14000, BUKIT MERTAJAM, PULAU PINANG"
"MEDAN KERANJI, 14000, BUKIT MERTAJAM, PULAU PINANG"
"MEDAN KOTA PERMAI 2, 14000, BUKIT MERTAJAM, PULAU PINANG"
"MEDAN MUHIBBAH, 14000, BUKIT MERTAJAM, PULAU PINANG"
"MEDAN NANGKA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"MEDAN TAMAN BUKIT, 14000, BUKIT MERTAJAM, PULAU PINANG"
"MEDAN TEMBIKAI, 14000, BUKIT MERTAJAM, PULAU PINANG"
"MENGKUANG BERAPIT, 14000, BUKIT MERTAJAM, PULAU PINANG"
"MENGKUANG SUNGAI LEMBU MK.18, 14000, BUKIT MERTAJAM, PULAU PINANG"
"MENGKUANG SUNGAI LEMBU MK.19, 14000, BUKIT MERTAJAM, PULAU PINANG"
"PADANG IPOH, 14000, BUKIT MERTAJAM, PULAU PINANG"
"PADANG LALANG MK.17, 14000, BUKIT MERTAJAM, PULAU PINANG"
"PAGAR TERAS, 14000, BUKIT MERTAJAM, PULAU PINANG"
"PANGSAPURI DESA PALMA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"PANGSAPURI SERI JAYA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"PEKAN BARU, 14000, BUKIT MERTAJAM, PULAU PINANG"
"PERMATANG BATU, 14000, BUKIT MERTAJAM, PULAU PINANG"
"PERSIARAN BAYU MUTIARA, 14000, BUKIT MERTAJAM, PULAU PINANG"
"PERSIARAN DAMAI, 14000, BUKIT MERTAJAM, PULAU PINANG"
