address
"JALAN KELAB, 35000, TAPAH, PERAK"
"NO.2, JALAN SETIA IMPIAN U13/3T, SETIA ALAM, 40170, SHAH ALAM, SELANGOR"
"PERSIARAN DESAMINIUM 1, LESTARI PERDANA, 43300, SERI KEMBANGAN, SELANGOR"
"JALAN PJU 10/4C, DAMANSARA DAMAI, 47830, PETALING JAYA, SELANGOR"
"JALAN SP1/1, SEKSYEN 1, SAUJANA PUCHONG, 47110, PUCHONG, SELANGOR"
"NO. 1, JALAN NOVA U5/45, 40150, SHAH ALAM, SELANGOR"
"NO 1, JALAN PULAU ANGSA U10/1, SUNWAY ALAM SURIA, SEKSYEN 10, 40170, SHAH ALAM, SELANGOR"
"JALAN PUTRA BAHAGIA 8/2, SEKSYEN 8, PUTRA HEIGHTS, 47650, SUBANG JAYA, SELANGOR"
"SUNGAI PELEK, 43950, SUNGAI PELEK, SELANGOR"
"KG ORG ASLI BKT BANGKONG, 43950, SUNGAI PELEK, SELANGOR"
"SG PELEK, 43950, SUNGAI PELEK, SELANGOR"
"JALAN BESAR SALAK, KAMPUNG SALAK TINGGI, 43900, SEPANG, SELANGOR"
"KG BAHARU LANJUT, 43900, SEPANG, SELANGOR"
"KG. BUSUT BARU (A), BKT CHEDING, 42700, BANTING, SELANGOR"
"JALAN BESAR, KAMPUNG JENDERAM HULU, 43800, DENGKIL, SELANGOR"
"PEJABAT POS DENGKIL SELANGOR, 43800, DENGKIL, SELANGOR"
"PEKAN DENGKIL, JALAN AYER HITAM, 43800, DENGKIL, SELANGOR"
"KG SG MERAB LUAR, 43000, KAJANG, SELANGOR"
"JALAN UTAMA, KAMPUNG DESA PUTRA, 43000, KAJANG, SELANGOR"
"JALAN SG.MERAB SEBELAH PINTU SATU PUTRAJAYA, 43000, KAJANG, SELANGOR"
"BATU 8, PULAU MERANTI, 47120, PUCHONG, SELANGOR"
"KAMPUNG ORANG ASLI SUNGAI MELUT, 43900, SEPANG, SELANGOR"
"JALAN DENGKIL BANTING, 43800, DENGKIL, SELANGOR"
"BANDAR BARU SALAK TINGGI, 43900, SEPANG, SELANGOR"
"JLN BBST,TMN SEROJA , BANDAR BARU SALAK TINGGI, 43900, SEPANG, SELANGOR"
"LOT 3870 JLN RAJA UDANG 8,TAMAN PANTAI SEPANG PUTRA, 43950, SUNGAI PELEK, SELANGOR"
"JLN PUTRA PERDANA 3B, TMN PUTRA PERDANA, 47130, PUCHONG, SELANGOR"
"PERSIARAN WARISAN PERMAI, KOTA WARISAN, 43900, SEPANG, SELANGOR"
"PERSIARAN BESTARI, ZON FLAGSHIP 2, 63000, CYBERJAYA, SELANGOR"
"TAMAN MAWAR, BANDAR BARU SALAK TINGGI, 43900, SEPANG, SELANGOR"
"JALAN PUTRA PERDANA 6, TAMAN PUTRA PERDANA, 47130, PUCHONG, SELANGOR"
"PERSIARAN DESA PINGGIRAN 4A, DESA PINGGIRAN PUTRA, 43000, KAJANG, SELANGOR"
"JALAN MELAWIS, 41000, KLANG, SELANGOR"
"JALAN PEKAN BARU, TAMAN ENG ANN, 41150, KLANG, SELANGOR"
"JALAN PEKAN BARU, TAMAN ENG ANN, 41150, KLANG, SELANGOR"
"112, JALAN TENGKU KELANA, 41000, KLANG, SELANGOR"
"112, JALAN TENGKU KELANA, 41000, KLANG, SELANGOR"
"143, PERSIARAN RAJA MUDA MUSA, 41200, KLANG, SELANGOR"
"JALAN MERU, 41050, KLANG, SELANGOR"
"JALAN MERU, 41050, KLANG, SELANGOR"
"JALAN ORKID, 42000, PELABUHAN KLANG, SELANGOR"
"JALAN RAYA BARAT, 41000, KLANG, SELANGOR"
"LORONG SABAH, PANDAMARAN, 42000, PELABUHAN KLANG, SELANGOR"
"LORONG SABAH, PANDAMARAN, 42000, PELABUHAN KLANG, SELANGOR"
"JALAN LANDASAN, 41300, KLANG, SELANGOR"
"PERSIARAN RAJA MUDA MUSA, 41200, KLANG, SELANGOR"
"PERSIARAN RAJA MUDA MUSA, 41200, KLANG, SELANGOR"
"PERSIARAN RAJA MUDA MUSA, 42000, PELABUHAN KLANG, SELANGOR"
"JALAN SEKOLAH, TELOK DATOK, 42700, BANTING, SELANGOR"
"JALAN SULTAN ABDUL SAMAD, 42700, BANTING, SELANGOR"
"JALAN KELAB, 45600, BATANG BERJUNTAI, SELANGOR"
"JALAN BOMBA, 45500, TANJONG KARANG, SELANGOR"
"JALAN GEREJA, 43000, KAJANG, SELANGOR"
"JALAN BUKIT, 43000, KAJANG, SELANGOR"
"JALAN BUKIT, 43000, KAJANG, SELANGOR"
"JALAN SEMENYIH, 43000, KAJANG, SELANGOR"
"JALAN KOLAM AIR OFF JALAN SEMENYIH, 43000, KAJANG, SELANGOR"
"P. POS SEMENYIH, 43500, SEMENYIH, SELANGOR"
"JALAN RASATHURAI, 44000, KUALA KUBU BHARU, SELANGOR"
"JALAN RASATHURAI, 44000, KUALA KUBU BHARU, SELANGOR"
"JALAN RAJA CHULAN, 45200, SABAK BERNAM, SELANGOR"
"JALAN BESAR, 45300, SUNGAI BESAR, SELANGOR"
"JALAN  PARIT  6, 45400, SEKINCHAN, SELANGOR"
"KM 8, JALAN GOMBAK, 53100, KUALA LUMPUR, SELANGOR"
"KM 8, JALAN GOMBAK, 53100, KUALA LUMPUR, SELANGOR"
"JALAN AWAN, 68000, AMPANG, SELANGOR"
"LOT 3303, JALAN NIPAH OFF JALAN AMPANG, 55000, AMPANG, SELANGOR"
"JALAN 45, SELAYANG BARU, 68100, BATU CAVES, SELANGOR"
"JALAN KUALA GARING, 48000, RAWANG, SELANGOR"
"BATU ARANG, 48100, BATU ARANG, SELANGOR"
"JALAN  ASSUNTA, 46050, PETALING JAYA, SELANGOR"
"JALAN ASSUNTA 4/52, 46050, PETALING JAYA, SELANGOR"
"JALAN SUNGAI JERNIH 8/1, SEKSYEN 8, 46050, PETALING JAYA, SELANGOR"
"JALAN SUNGAI JERNIH 8/1, 46050, PETALING JAYA, SELANGOR"
"JALAN SS 1/11, 47300, PETALING JAYA, SELANGOR"
"JALAN GASING, 46000, PETALING JAYA, SELANGOR"
"JALAN 5/37, 46000, PETALING JAYA, SELANGOR"
"JALAN 1/10, 46000, PETALING JAYA, SELANGOR"
"JALAN 1/10, 46000, PETALING JAYA, SELANGOR"
"JALAN PADANG 4/48, JALAN SELANGOR, 46050, PETALING JAYA, SELANGOR"
"4/48 JALAN PADANG, 46050, PETALING JAYA, SELANGOR"
"JALAN BUKIT 11/2,  PETALING JAYA, 46200, PETALING JAYA, SELANGOR"
"JALAN BUKIT 11/2, 46200, PETALING JAYA, SELANGOR"
"JALAN 12/15, 46200, PETALING JAYA, SELANGOR"
"JALAN DAWAI 16/2,  SEKSYEN 16, 40200, SHAH ALAM, SELANGOR"
"JALAN SS 9/13, 47300, PETALING JAYA, SELANGOR"
"SUNGAI PELEK, 43950, SUNGAI PELEK, SELANGOR"
"95A, JALAN KOTA RAJA, 41000, KLANG, SELANGOR"
"LOT 389, JALAN JAMBU BOL / KS 1, TELOK PULAI, 41100, KLANG, SELANGOR"
"NO1A, PERSIARAN ANGGERIK ERIA, SEC 31, KOTA KEMUNING, 40460, SHAH ALAM, SELANGOR"
"JALAN BATU NILAM, BANDAR BUKIT TINGGI, 41200, KLANG, SELANGOR"
"JALAN SEKOLAH,PULAU KETAM, 42940, PELABUHAN KLANG, SELANGOR"
"BAGAN TEOCHEW, PULAU KETAM, 42940, PELABUHAN KLANG, SELANGOR"
"PERSIARAN KEMUNING PRIMA, SEKSYEN 32, 40460, KLANG, SELANGOR"
"54, JALAN BATU TIGA, 41300, KLANG, SELANGOR"
"KAMPUNG TELOK GONG, 42000, PELABUHAN KLANG, SELANGOR"
"JALAN BESAR, 42000, PELABUHAN KLANG, SELANGOR"
"JALAN YOUNG PANDAMARAN, 42000, PELABUHAN KLANG, SELANGOR"
"2, PERSIARAN SETIA MURNI,SETIA ALAM, SEKSYEN U13, 40170, SHAH ALAM, SELANGOR"
"BATU 4, JALAN KAPAR, 42100, KLANG, SELANGOR"
"SUNGAI LIMA, PULAU KETAM, 42940, PELABUHAN KLANG, SELANGOR"
"PEKAN KAPAR, 42200, KAPAR, SELANGOR"
"PEKAN MERU, BATU 6, OFF JALAN MERU, 41050, KLANG, SELANGOR"
"25, JALAN TENGKU BADAR, 42000, PELABUHAN KLANG, SELANGOR"
"PERSIARAN DELIMA 3, BANDAR PARKLANDS, 41200, KLANG, SELANGOR"
"BATU 12, JALAN KAPAR, 42200, KAPAR, SELANGOR"
"P.T. 51544 AMAN PERDANA, 41050, KLANG, SELANGOR"
"JALAN BATU TIGA LAMA, 41300, KLANG, SELANGOR"
"517 JALAN SULTAN ALAM SHAH, 42700, BANTING, SELANGOR"
"JALAN SEKOLAH, 42600, JENJAROM, SELANGOR"
"KG. PULAU, TELOK BUNUT, 42700, BANTING, SELANGOR"
"TELOK PANGLIMA GARANG, KUALA LANGAT, 42500, TELOK PANGLIMA GARANG, SELANGOR"
"SIMPANG MORIB, 42700, BANTING, SELANGOR"
"JLN BESAR,TANJONG SEPAT, 42800, TANJONG SEPAT, SELANGOR"
"SUNGAI BUAYA, 42700, BANTING, SELANGOR"
"JALAN KERAMAT TANJUNG, 45000, KUALA SELANGOR, SELANGOR"
"JALAN BAGAN PASIR, 45500, TANJONG KARANG, SELANGOR"
"JALAN SASARAN, BUKIT KUCHING, 45800, JERAM, SELANGOR"
"SIMPANG TIGA IJOK, 45620, BESTARI JAYA, SELANGOR"
"PASIR PENAMBANG, 45000, KUALA SELANGOR, SELANGOR"
"BATU 17, SUNGAI SEMBILANG, 45800, JERAM, SELANGOR"
"KAMPUNG TIRAM BURUK, 45500, TANJONG KARANG, SELANGOR"
"JALAN KLANG, 45700, BUKIT ROTAN, SELANGOR"
"JALAN SIMPANG TIGA, 45800, JERAM, SELANGOR"
"JALAN DEWAN DATO' HORMAT, 45500, TANJONG KARANG, SELANGOR"
"BAGAN TANJONG KARANG, 45500, TANJONG KARANG, SELANGOR"
"JALAN BESAR, BESTARI JAYA (BATANG BERJUNTAI), 45600, BESTARI JAYA, SELANGOR"
"KAMPUNG BARU BALAKONG, 43300, SERI KEMBANGAN, SELANGOR"
"BATU 9 JALAN CHERAS, 43200, CHERAS, SELANGOR"
"JALAN SEKOLAH, KG. BARU BATU SEBELAS CHERAS, 43200, CHERAS, SELANGOR"
"BATU 18, 43100, HULU LANGAT, SELANGOR"
"KAMPUNG BARU SEMENYIH, 43500, SEMENYIH, SELANGOR"
"JALAN BESAR, 43500, SEMENYIH, SELANGOR"
"JALAN SEKOLAH, KG BARU SG CHUA, 43000, KAJANG, SELANGOR"
"JALAN BESAR, 43700, BERANANG, SELANGOR"
"BATU 14 HULU LANGAT, 43100, HULU LANGAT, SELANGOR"
"JALAN STESYEN, BANGI, 43000, KAJANG, SELANGOR"
"JALAN LOW TI KOK, 43000, KAJANG, SELANGOR"
"JALAN WAWASAN MERDEKA, 68000, AMPANG, SELANGOR"
"LOT 6, JALAN BESAR, 68000, AMPANG, SELANGOR"
"BANDAR DAMAI PERDANA, 56000, CHERAS, SELANGOR"
"PANDAN MEWAH, 68000, AMPANG, SELANGOR"
"JALAN SUNGAI LONG, BANDAR SUNGAI LONG, 43000, KAJANG, SELANGOR"
"KAMPUNG BUKIT CHANDANG, 44300, BATANG KALI, SELANGOR"
"JALAN KASTURI SEKSYEN BB8, 48300, BUKIT BERUNTUNG, SELANGOR"
"JALAN BESAR, HULU YAM LAMA, 44300, BATANG KALI, SELANGOR"
"JALAN PADANG, 49000, BUKIT FRASER, SELANGOR"
"KAMPUNG BARU KALUMPANG, 44100, KERLING, SELANGOR"
"ULU YAM BARU, 44300, BATANG KALI, SELANGOR"
"KAMPUNG AIR PANAS, 44100, KERLING, SELANGOR"
"JALAN SEKOLAH, 44000, KUALA KUBU BHARU, SELANGOR"
"JALAN KUALA KALI, 44200, RASA, SELANGOR"
"JALAN BESAR SERENDAH, 48200, SERENDAH, SELANGOR"
"SIMPANG 4, BNO, 45200, SABAK BERNAM, SELANGOR"
"BAGAN SUNGAI BURUNG, 45300, SUNGAI BESAR, SELANGOR"
"JALAN RAJA CHULAN, 45200, SABAK BERNAM, SELANGOR"
"JALAN MOON TECK, 45100, SG. AIR TAWAR, SELANGOR"
"SUNGAI PULAI, 45200, SABAK BERNAM, SELANGOR"
"JALAN BAGAN SG. LANG, 45100, SG. AIR TAWAR, SELANGOR"
"JALAN PANCHANG  BEDENA, 45300, SUNGAI BESAR, SELANGOR"
"TELUK RU & BETING KEPAH, 45100, SG AIR TAWAR, SELANGOR"
"JALAN GEREJA, 45400, SEKINCHAN, SELANGOR"
"LORONG 3  SITE A, 45400, SEKINCHAN, SELANGOR"
"BATU ARANG, 48100, BATU ARANG, SELANGOR"
"BATU CAVES, 68100, BATU CAVES, SELANGOR"
"KAMPUNG BARU KUANG, 48050, RAWANG, SELANGOR"
"KAMPUNG BARU KUNDANG, 48020, RAWANG, SELANGOR"
"KAMPUNG KENANGA, 48000, RAWANG, SELANGOR"
"JALAN 45, SELAYANG BARU, 68100, BATU CAVES, SELANGOR"
"KEPONG, 52100, KUALA LUMPUR, SELANGOR"
"LINGKARAN BUKIT EMERALD, TAMAN EMERALD, 48000, RAWANG, SELANGOR"
"JALAN 2/32, 46000, PETALING JAYA, SELANGOR"
"JALAN TROPICANA UTARA, 47410, PETALING JAYA, SELANGOR"
"BATU 11 ,SERDANG LAMA, 43300, SERI KEMBANGAN, SELANGOR"
"JALAN MASJID, BATU 14, KG BAHARU PUCHONG, 47100, PUCHONG, SELANGOR"
"JALAN SEKOLAH, 43300, SERI KEMBANGAN, SELANGOR"
"SERI KEMBANGAN, 43300, SERI KEMBANGAN, SELANGOR"
"KAMPUNG BARU SUBANG, 40150, SHAH ALAM, SELANGOR"
"JALAN SS9A/1, SUNGAI WAY, 47300, PETALING JAYA, SELANGOR"
"KAMPUNG BARU SUNGAI BULOH, 47000, SUNGAI BULOH, SELANGOR"
"BATU 8 KUCHAI PUCHONG, 47190, PUCHONG, SELANGOR"
"JLN SS24/1 TAMAN MEGAH, 47301, PETALING JAYA, SELANGOR"
"BT 6 1/2 JLN KLANG LAMA, 46000, PETALING JAYA, SELANGOR"
"JLN SS 2/54, 47300, PETALING JAYA, SELANGOR"
"JALAN SS 19/6, 47500, SUBANG JAYA, SELANGOR"
"JALAN BU3/1, BANDAR UTAMA, 47800, PETALING JAYA, SELANGOR"
"KOMPLEKS SEK. WAWASAN, PERSIARAN KEWAJIPAN, 47630, SUBANG JAYA, SELANGOR"
"USJ 1,  JALAN  SUBANG  MEWAH, SUBANG  MEWAH, 47600, SUBANG JAYA, SELANGOR"
"PERSIARAN PERDANA,BANDAR SRI DAMANSARA, 52200, KUALA LUMPUR, SELANGOR"
"JALAN KASAWARI 11, BANDAR PUCHONG JAYA, 47180, PUCHONG, SELANGOR"
"JALAN 17A/1, 46400, PETALING JAYA, SELANGOR"
"PERSIARAN PUTRA BISTARI, PUTRA HEIGHT, 47650, SUBANG JAYA, SELANGOR"
"PERSIARAN INDERA, PUSAT BANDAR PUCHONG, PUCHONG, 47100, PETALING, SELANGOR"
"PERSIARAN LESTARI PERDANA 5, LESTARI PERDANA, 43300, SERI KEMBANGAN, SELANGOR"
"PEKAN SALAK, 43900, SEPANG, SELANGOR"
"DENGKIL, 43800, DENGKIL, SELANGOR"
"KAMPUNG BARU (BERDEKATAN KLINIK DESA SEPANG), 43900, SEPANG, SELANGOR"
"BATU 16, JLN PUCHONG, 47100, PUCHONG, SELANGOR"
"PEKAN SUNGAI PELEK, 43950, SUNGAI PELEK, SELANGOR"
"KAMPUNG BARU, 43950, SUNGAI PELEK, SELANGOR"
"LOT 47687, 63000, CYBERJAYA, SELANGOR"
"JALAN KOTA RAJA, 41000, KLANG, SELANGOR"
"LADANG BRAFFERTON, 42200, KAPAR, SELANGOR"
"LOT 27(OFF JALAN HAJI SIRAT BATU BELAH),JALAN SUMAZAU/KU5,BUKIT RAJA, 41050, KLANG, SELANGOR"
"BATU 8, JALAN KAMPUNG JAWA, 42450, KLANG, SELANGOR"
"PERSIARAN BATU NILAM 2, BANDAR BUKIT TINGGI 2, 41200, KLANG, SELANGOR"
"LADANG JALAN ACOB, 42200, KAPAR, SELANGOR"
"JALAN TEPI SUNGAI OFF JALAN LEMBAGA BANDARAN, 41000, KLANG, SELANGOR"
"JALAN PERSIARAN RAJA MUDA MUSA, 42000, PELABUHAN KLANG, SELANGOR"
"JALAN MERU, 41050, KLANG, SELANGOR"
"JALAN BUKIT KAPAR, 42200, KAPAR, SELANGOR"
"JALAN LANGAT, TAMAN  SRI  ANDALAS, 41200, KLANG, SELANGOR"
"BATU 7, JALAN KAPAR, KAPAR, 42200, KLANG, SELANGOR"
"<NA>, <NA>, <NA>, SELANGOR"
"SUNGAI MANGGIS, 42700, BANTING, SELANGOR"
"JALAN BANTING-PORT DICKSON, 42800, TG. SEPAT, SELANGOR"
"JALAN SULTAN ABDUL SAMAD, 42700, BANTING, SELANGOR"
"JENJAROM, 42600, JENJAROM, SELANGOR"
"SIMPANG MORIB, 42700, BANTING, SELANGOR"
"SUNGAI SEDU, 42700, BANTING, SELANGOR"
"SUNGAI BUAYA, 42700, BANTING, SELANGOR"
"TELOK PANGLIMA GARANG, 42500, TELOK PANGLIMA GARANG, SELANGOR"
"JALAN ORKID, 42700, BANTING, SELANGOR"
"TANJUNG SEPAT, 42800, TANJUNG SEPAT, SELANGOR"
"PULAU CAREY SELATAN, KUALA LANGAT, 42960, PULAU CAREY, SELANGOR"
"PULAU CAREY BARAT, 42960, PULAU CAREY, SELANGOR"
"PULAU  CAREY TIMUR, 42960, PULAU CAREY, SELANGOR"
"JALAN BESAR, 45600, BESTARI JAYA, SELANGOR"
"LADANG BRAUNSTON, 45800, JERAM, SELANGOR"
"LADANG BUKIT CHERAKA,  JALAN SIMPANG TIGA, 45800, JERAM, SELANGOR"
"LADANG BUKIT IJOK, 45800, JERAM, SELANGOR"
"LADANG COALFIELDS, 47000, SUNGAI BULOH, SELANGOR"
"SUNGAI BURONG, 45400, SEKINCHAN, SELANGOR"
"LADANG HOPEFUL, 45600, BESTARI JAYA, SELANGOR"
"KUALA SELANGOR, 45000, KUALA SELANGOR, SELANGOR"
"LADANG SUNGAI TERAP, 45000, KUALA SELANGOR, SELANGOR"
"KM. 1.6, LADANG KUALA SELANGOR, 45700, BUKIT ROTAN, SELANGOR"
"LADANG RAJA MUSA, 45000, KUALA SELANGOR, SELANGOR"
"KM. 7.2 JALAN IJOK KUALA SELANGOR, 45700, BUKIT ROTAN, SELANGOR"
"BUKIT BELIMBING, 45000, KUALA SELANGOR, SELANGOR"
"PEJABAT POS BUKIT ROTAN, 45700, BUKIT ROTAN, SELANGOR"
"LADANG SUNGAI BULOH, 45700, KUALA SELANGOR, SELANGOR"
"LADANG SUNGAI RAMBAI, 45600, BESTARI JAYA, SELANGOR"
"LADANG TUAN MEE, 47000, SUNGAI BULOH, SELANGOR"
"JALAN TANJONG KERAMAT, 45000, KUALA SELANGOR, SELANGOR"
"LADANG BROOME, BANGI, 43000, KAJANG, SELANGOR"
"LADANG DOMINION, 43500, SEMENYIH, SELANGOR"
"JALAN KOLAM AIR, 43000, KAJANG, SELANGOR"
"23RD MILE, JALAN SEREMBAN, 43500, SEMENYIH, SELANGOR"
"JALAN BROGA, 43500, SEMENYIH, SELANGOR"
"JALAN 5 SEKSYEN 5 BDR BARU BANGI, 43000, KAJANG, SELANGOR"
"JALAN AMPANG, 68000, AMPANG, SELANGOR"
"LADANG BATANG KALI, 44300, BATANG KALI, SELANGOR"
"LADANG CHANGKAT ASA, 35900, TANJUNG MALIM, SELANGOR"
"LADANG ESCOT, 35900, TANJONG MALIM, SELANGOR"
"JALAN DATO' BALAI, 44000, KUALA KUBU BHARU, SELANGOR"
"LADANG KERLING, 44100, KERLING, SELANGOR"
"LADANG KALUMPANG, 35900, TANJONG MALIM, SELANGOR"
"LADANG LIMA BELAS, 35800, SLIM RIVER, SELANGOR"
"LADANG MINYAK, 45600, BESTARI JAYA, SELANGOR"
"LADANG NIGEL GARDNER, 45600, BESTARI JAYA, SELANGOR"
"TAMAN BUKIT TERATAI, 48000, RAWANG, SELANGOR"
"BANDAR BARU BUKIT BERUNTUNG, 48300, RAWANG, SELANGOR"
"LADANG MARY, 45600, BESTARI JAYA, SELANGOR"
"LADANG SUNGAI TINGGI, 45600, BESTARI JAYA, SELANGOR"
"LADANG SUNGAI BERNAM, 45200, SABAK BERNAM, SELANGOR"
"JALAN PEJABAT HAIWAN, 45200, SABAK BERNAM, SELANGOR"
"BATU CAVES, 68100, BATU CAVES, SELANGOR"
"BATU ARANG, 48100, BATU ARANG, SELANGOR"
"KUANG, 48050, RAWANG, SELANGOR"
"JALAN KUALA SELANGOR, 47000, SUNGAI BULOH, SELANGOR"
"JALAN KUALA GARING, 48000, RAWANG, SELANGOR"
"JLN MELAWATI 5, TMN MELAWATI, 53100, KUALA LUMPUR, SELANGOR"
"BATU 11 3/4, JALAN PUCHONG, 47100, PUCHONG, SELANGOR"
"JALAN BU 11/1,BANDAR UTAMA DAMANSARA, 47800, PETALING JAYA, SELANGOR"
"UNIPUTRA POS SERDANG, 43400, SERI KEMBANGAN, SELANGOR"
"JALAN BUNGA TANJUNG, BT 14, 47100, PUCHONG, SELANGOR"
"JLN.PUCHONG, PETALING, 47100, PUCHONG, SELANGOR"
"SEKOLAH JENIS KEBANGSAAN (TAMIL) RRI, 47000, SUNGAI BULOH, SELANGOR"
"SUNGAI BULOH, 47000, SUNGAI BULOH, SELANGOR"
"JALAN TEMPLER, 46050, PETALING JAYA, SELANGOR"
"JALAN SELAYANG27/27, SEKSYEN27, 40000, SHAH ALAM, SELANGOR"
"BATU TIGA, 40000, SHAH ALAM, SELANGOR"
"JALAN SUBANG, BATU TIGA, 40000, SHAH ALAM, SELANGOR"
"JALAN PLUMBUM 7/100, 40000, SHAH ALAM, SELANGOR"
"LADANG NORTH HUMMOCK, BATU 5, JALAN MERU, 41050, KLANG, SELANGOR"
"LOT (1A), JALAN METAFASA U16/1A , BUKIT SUBANG, 40160, SHAH ALAM, SELANGOR"
"JALAN PJS 6/4, KAMPUNG LINDUNGAN, 46150, PETALING JAYA, SELANGOR"
"18/1, JALAN PINANG, SEKSYEN 18, 40200, SHAH ALAM, SELANGOR"
"JALAN USJ  20/8 UEP SUBANG JAYA, 47630, SUBANG JAYA, SELANGOR"
"KOMPLEKS SEK. WAWASAN, USJ 15, PERSIARAN KEWAJIPAN, 47630, SUBANG JAYA, SELANGOR"
"P/S 15, LDG AMPAR TENANG, 43800, DENGKIL, SELANGOR"
"KAMPUNG CHINCHANG (BERHAMPIRAN PADANG LADANG BUTE), 43900, SEPANG, SELANGOR"
"BANDAR BARU SALAK TINGGI, 43900, SEPANG, SELANGOR"
"DENGKIL, 43800, DENGKIL, SELANGOR"
"TAMAN PERMATA, 43800, DENGKIL, SELANGOR"
"JALAN KELAB, 43900, SEPANG, SELANGOR"
"LADANG TELUK MERBAU, 43950, SUNGAI PELEK, SELANGOR"
"PETI SURAT 84, 43000, KAJANG, SELANGOR"
"TAMAN KLANG JAYA, 41200, KLANG, SELANGOR"
"JALAN RAJA LUMU, PANDAMARAN, 42000, PELABUHAN KLANG, SELANGOR"
"PERSIARAN RAJA MUDA MUSA, 41200, KLANG, SELANGOR"
"JALAN PANDAMARAN, 42000, PELABUHAN KLANG, SELANGOR"
"JALAN TAP, 42200, KAPAR, SELANGOR"
"JALAN LANDASAN, BUKIT KUDA, 41300, KLANG, SELANGOR"
"LOT 79478, PERSIARAN PULAU LUMUT KM12, SEKSYEN 10, 42920, PULAU INDAH, SELANGOR"
"JALAN ISTANA, 41000, KLANG, SELANGOR"
"JALAN KAPAR, 42100, KLANG, SELANGOR"
"PERSIARAN HAMZAH ALANG, 42200, KAPAR, SELANGOR"
"JALAN YOUNG, PANDAMARAN, 42000, PELABUHAN KLANG, SELANGOR"
"JALAN SERAMPANG 3, OFF JALAN TELUK PULAI, 41100, KLANG, SELANGOR"
"JALAN SRI DAMAK 10, TAMAN SRI ANDALAS, 41200, KLANG, SELANGOR"
"BATU 7 JALAN KEBUN SEKSYEN 32, 40460, SHAH ALAM, SELANGOR"
"JALAN RAJA NONG, 41000, KLANG, SELANGOR"
"PERSIARAN SG. KERAMAT, TAMAN KLANG UTAMA, 42100, KLANG, SELANGOR"
"LOT 4, JLN ANGGERIK DORITIS 31/143, KOTA KEMUNING, 40460, SHAH ALAM, SELANGOR"
"LEBUH SULTAN ABDUL SAMAD, 42000, PELABUHAN KLANG, SELANGOR"
"JALAN HARAPAN 3A, TAMAN SUNGAI KAPAR INDAH, 42200, KAPAR, KLANG, SELANGOR"
"JALAN RAJA NONG, 41000, KLANG, SELANGOR"
"JALAN NILAM 1, BANDAR BUKIT TINGGI, 41200, KLANG, SELANGOR"
"JALAN BATU NILAM 1, 41200, KLANG, SELANGOR"
"KG JENJAROM, 42600, JENJAROM, SELANGOR"
"JALAN SULTAN ABDUL SAMAD, 42700, BANTING, SELANGOR"
"JALAN SULTAN ABDUL SAMAD, 42700, BANTING, SELANGOR"
"TANJONG SEPAT, 42800, TANJONG SEPAT, SELANGOR"
"P POS TELOK, 42500, TELOK PANGLIMA GARANG, SELANGOR"
"BUKIT CHANGGANG, 42700, BANTING, SELANGOR"
"TELOK DATOK, KUALA LANGAT, 42700, BANTING, SELANGOR"
"KG. MEDAN, 42500, TELOK PANGLIMA GARANG, SELANGOR"
"PERSIARAN MAJLIS, 42700, BANTING, SELANGOR"
"JALAN SULTAN SULEIMAN SHAH , JUGRA, 42700, BANTING, SELANGOR"
"JALAN KERAMAT TANJUNG, 45000, KUALA SELANGOR, SELANGOR"
"BATU 8, JALAN BERNAM, 45500, TANJONG KARANG, SELANGOR"
"JALAN BUKIT BADONG, 45600, BESTARI JAYA, SELANGOR"
"JALAN SIMPANG TIGA, 45800, JERAM, SELANGOR"
"BATU 12, LAPIS 3, SUNGAI BURONG, 45500, TANJONG KARANG, SELANGOR"
"JALAN SEKEMBANG, KG. SERI TIRAM JAYA, 45500, TANJONG KARANG, SELANGOR"
"KM. 16, JALAN RAWANG, RANTAU PANJANG, 45600, BESTARI JAYA, SELANGOR"
"PASIR PENAMBANG, 45000, KUALA SELANGOR, SELANGOR"
"JALAN PENDIDIKAN,  BANDAR MALAWATI, 45000, KUALA SELANGOR, SELANGOR"
"PERSIARAN SAUJANA 3, SAUJANA UTAMA, 47000, SUNGAI BULOH, SELANGOR"
"JALAN MAHKOTA IMPIAN 2/1, SEKSYEN 2, 42300, BANDAR PUNCAK ALAM, SELANGOR"
"KM1, JALAN RAWANG, 45000, KUALA SELANGOR, SELANGOR"
"JALAN TAHIR MANAN, 45800, JERAM, SELANGOR"
"JALAN ASTANA 13/2, 42300, PUNCAK ALAM, SELANGOR"
"JALAN TASIK TAMBAHAN 2, 68000, AMPANG, SELANGOR"
"JALAN 1/7E, BANDAR BARU BANGI, 43650, BANDAR BARU BANGI, SELANGOR"
"KM 22, JALAN CHERAS, 43000, KAJANG, SELANGOR"
"JALAN SEMENYIH, 43700, BERANANG, SELANGOR"
"BT 14, P POS HULU LANGAT, 43100, HULU LANGAT, SELANGOR"
"KAMPUNG BARU CINA (SEMENYIH), 43500, SEMENYIH, SELANGOR"
"JALAN KOSAS 2/2, TAMAN KOSAS, 68000, AMPANG, SELANGOR"
"JALAN BUNGA MELATI 8, 56100, AMPANG, SELANGOR"
"KM 16 JALAN CHERAS, 43200, CHERAS, SELANGOR"
"JALAN PERMAI K, 68000, AMPANG, SELANGOR"
"JALAN REKO, 43000, KAJANG, SELANGOR"
"JALAN 3/4, 43650, BANDAR BARU BANGI, SELANGOR"
