housenumber,street,city,postcode,district,state,address
635,Jalan Juru,Simpang Ampat,14100,SEBERANG PERAI SELATAN,PULAU PINANG,"635, JALAN JURU, SIMPANG AMPAT, 14100, SEBERANG PERAI SELATAN, PULAU PIG"
635,Jalan Juru,Simpang Ampat,14100,SIMPANG AMPAT,PULAU PINANG,"635, JALAN JURU, SIMPANG AMPAT, 14100, SIMPANG AMPAT, PULAU PIG"
636,Jalan Juru,Simpang Ampat,14100,SEBERANG PERAI TENGAH,PULAU PINANG,"636, JALAN JURU, SIMPANG AMPAT, 14100, SEBERANG PERAI TENGAH, PULAU PIG"
636,Jalan Juru,Simpang Ampat,14100,SEBERANG PERAI SELATAN,PULAU PINANG,"636, JALAN JURU, SIMPANG AMPAT, 14100, SEBERANG PERAI SELATAN, PULAU PIG"
636,Jalan Juru,Simpang Ampat,14100,SIMPANG AMPAT,PULAU PINANG,"636, JALAN JURU, SIMPANG AMPAT, 14100, SIMPANG AMPAT, PULAU PIG"
637,Jalan Juru,Simpang Ampat,14100,SEBERANG PERAI TENGAH,PULAU PINANG,"637, JALAN JURU, SIMPANG AMPAT, 14100, SEBERANG PERAI TENGAH, PULAU PIG"
637,Jalan Juru,Simpang Ampat,14100,SEBERANG PERAI SELATAN,PULAU PINANG,"637, JALAN JURU, SIMPANG AMPAT, 14100, SEBERANG PERAI SELATAN, PULAU PIG"
637,Jalan Juru,Simpang Ampat,14100,SIMPANG AMPAT,PULAU PINANG,"637, JALAN JURU, SIMPANG AMPAT, 14100, SIMPANG AMPAT, PULAU PIG"
638,Jalan Juru,Simpang Ampat,14100,SEBERANG PERAI TENGAH,PULAU PINANG,"638, JALAN JURU, SIMPANG AMPAT, 14100, SEBERANG PERAI TENGAH, PULAU PIG"
638,Jalan Juru,Simpang Ampat,14100,SEBERANG PERAI SELATAN,PULAU PINANG,"638, JALAN JURU, SIMPANG AMPAT, 14100, SEBERANG PERAI SELATAN, PULAU PIG"
638,Jalan Juru,Simpang Ampat,14100,SIMPANG AMPAT,PULAU PINANG,"638, JALAN JURU, SIMPANG AMPAT, 14100, SIMPANG AMPAT, PULAU PIG"
639,Jalan Juru,Simpang Ampat,14100,SEBERANG PERAI TENGAH,PULAU PINANG,"639, JALAN JURU, SIMPANG AMPAT, 14100, SEBERANG PERAI TENGAH, PULAU PIG"
639,Jalan Juru,Simpang Ampat,14100,SEBERANG PERAI SELATAN,PULAU PINANG,"639, JALAN JURU, SIMPANG AMPAT, 14100, SEBERANG PERAI SELATAN, PULAU PIG"
639,Jalan Juru,Simpang Ampat,14100,SIMPANG AMPAT,PULAU PINANG,"639, JALAN JURU, SIMPANG AMPAT, 14100, SIMPANG AMPAT, PULAU PIG"
640,Jalan Juru,Simpang Ampat,14100,SEBERANG PERAI TENGAH,PULAU PINANG,"640, JALAN JURU, SIMPANG AMPAT, 14100, SEBERANG PERAI TENGAH, PULAU PIG"
640,Jalan Juru,Simpang Ampat,14100,SEBERANG PERAI SELATAN,PULAU PINANG,"640, JALAN JURU, SIMPANG AMPAT, 14100, SEBERANG PERAI SELATAN, PULAU PIG"
640,Jalan Juru,Simpang Ampat,14100,SIMPANG AMPAT,PULAU PINANG,"640, JALAN JURU, SIMPANG AMPAT, 14100, SIMPANG AMPAT, PULAU PIG"
641,Jalan Juru,Simpang Ampat,14100,SEBERANG PERAI TENGAH,PULAU PINANG,"641, JALAN JURU, SIMPANG AMPAT, 14100, SEBERANG PERAI TENGAH, PULAU PIG"
641,Jalan Juru,Simpang Ampat,14100,SEBERANG PERAI SELATAN,PULAU PINANG,"641, JALAN JURU, SIMPANG AMPAT, 14100, SEBERANG PERAI SELATAN, PULAU PIG"
641,Jalan Juru,Simpang Ampat,14100,SIMPANG AMPAT,PULAU PINANG,"641, JALAN JURU, SIMPANG AMPAT, 14100, SIMPANG AMPAT, PULAU PIG"
19,"Jalan Sungai Keramat 20, Taman Klang Utama",Klang,42100,KLANG,SELANGOR,"19, JALAN SUNGAI KERAMAT 20, TAMAN KLANG UTAMA, KLANG, 42100, KLANG, SELANGOR"
68,Jalan Jelapang,Ipoh,30020,KINTA,PERAK,"68, JALAN JELAPANG, IPOH, 30020, KINTA, PERAK"
68,Jalan Jelapang,Ipoh,30020,IPOH,PERAK,"68, JALAN JELAPANG, IPOH, 30020, IPOH, PERAK"
Lot 1,Batu 32 Checkpoint,Sandakan,90000,SANDAKAN,SABAH,"LOT 1, BATU 32 CHECKPOINT, SANDAKAN, 90000, SANDAKAN, SABAH"
48,Jalan SS 21/62,Petaling Jaya,47400,PETALING,SELANGOR,"48, JALAN SS 21/62, PETALING JAYA, 47400, PETALING, SELANGOR"
48,Jalan SS 21/62,Petaling Jaya,47400,PETALING JAYA,SELANGOR,"48, JALAN SS 21/62, PETALING JAYA, 47400, PETALING JAYA, SELANGOR"
14,Jalan Undan 18,Iskandar Puteri,81200,JOHOR BAHRU,JOHOR,"14, JALAN UNDAN 18, ISKANDAR PUTERI, 81200, JOHOR BAHRU, JOHOR"
5,Lorong Bagan Luar 3,Butterworth,12000,SEBERANG PERAI UTARA,PULAU PINANG,"5, LORONG BAGAN LUAR 3, BUTTERWORTH, 12000, SEBERANG PERAI UTARA, PULAU PIG"
5,Lorong Bagan Luar 3,Butterworth,12000,BUTTERWORTH,PULAU PINANG,"5, LORONG BAGAN LUAR 3, BUTTERWORTH, 12000, BUTTERWORTH, PULAU PIG"
A35,Lorong IM 3/19,Kuantan,25200,KUANTAN,PAHANG,"A35, LORONG IM 3/19, KUANTAN, 25200, KUANTAN, PAHANG"
15,Lorong Bagan Luar 3,Butterworth,12000,SEBERANG PERAI UTARA,PULAU PINANG,"15, LORONG BAGAN LUAR 3, BUTTERWORTH, 12000, SEBERANG PERAI UTARA, PULAU PIG"
15,Lorong Bagan Luar 3,Butterworth,12000,BUTTERWORTH,PULAU PINANG,"15, LORONG BAGAN LUAR 3, BUTTERWORTH, 12000, BUTTERWORTH, PULAU PIG"
18,Jalan Pertama 4,Johor Bahru,81300,JOHOR BAHRU,JOHOR,"18, JALAN PERTAMA 4, JOHOR BAHRU, 81300, JOHOR BAHRU, JOHOR"
10,Jalan Cokmar 5,Johor Bahru,80050,JOHOR BAHRU,JOHOR,"10, JALAN COKMAR 5, JOHOR BAHRU, 80050, JOHOR BAHRU, JOHOR"
69,Jalan Kendi,Simpang Ampat,14100,SEBERANG PERAI TENGAH,PULAU PINANG,"69, JALAN KENDI, SIMPANG AMPAT, 14100, SEBERANG PERAI TENGAH, PULAU PIG"
69,Jalan Kendi,Simpang Ampat,14100,SEBERANG PERAI SELATAN,PULAU PINANG,"69, JALAN KENDI, SIMPANG AMPAT, 14100, SEBERANG PERAI SELATAN, PULAU PIG"
69,Jalan Kendi,Simpang Ampat,14100,SIMPANG AMPAT,PULAU PINANG,"69, JALAN KENDI, SIMPANG AMPAT, 14100, SIMPANG AMPAT, PULAU PIG"
93;95,Jalan Kendi,Simpang Ampat,14100,SEBERANG PERAI TENGAH,PULAU PINANG,"93;95, JALAN KENDI, SIMPANG AMPAT, 14100, SEBERANG PERAI TENGAH, PULAU PIG"
93;95,Jalan Kendi,Simpang Ampat,14100,SEBERANG PERAI SELATAN,PULAU PINANG,"93;95, JALAN KENDI, SIMPANG AMPAT, 14100, SEBERANG PERAI SELATAN, PULAU PIG"
93;95,Jalan Kendi,Simpang Ampat,14100,SIMPANG AMPAT,PULAU PINANG,"93;95, JALAN KENDI, SIMPANG AMPAT, 14100, SIMPANG AMPAT, PULAU PIG"
1768,Jalan Kulim,Bukit Mertajam,14000,SEBERANG PERAI TENGAH,PULAU PINANG,"1768, JALAN KULIM, BUKIT MERTAJAM, 14000, SEBERANG PERAI TENGAH, PULAU PIG"
1768,Jalan Kulim,Bukit Mertajam,14000,SEBERANG PERAI UTARA,PULAU PINANG,"1768, JALAN KULIM, BUKIT MERTAJAM, 14000, SEBERANG PERAI UTARA, PULAU PIG"
1768,Jalan Kulim,Bukit Mertajam,14000,SEBERANG PERAI SELATAN,PULAU PINANG,"1768, JALAN KULIM, BUKIT MERTAJAM, 14000, SEBERANG PERAI SELATAN, PULAU PIG"
1768,Jalan Kulim,Bukit Mertajam,14000,BUKIT MERTAJAM,PULAU PINANG,"1768, JALAN KULIM, BUKIT MERTAJAM, 14000, BUKIT MERTAJAM, PULAU PIG"
"7,9","Lintang Sungai Keramat 10A/KU6, Taman Klang Utama",Klang,42100,KLANG,SELANGOR,"7,9, LINTANG SUNGAI KERAMAT 10A/KU6, TAMAN KLANG UTAMA, KLANG, 42100, KLANG, SELANGOR"
19B,Jalan SS 21/60,Petaling Jaya,47400,PETALING,SELANGOR,"19B, JALAN SS 21/60, PETALING JAYA, 47400, PETALING, SELANGOR"
19B,Jalan SS 21/60,Petaling Jaya,47400,PETALING JAYA,SELANGOR,"19B, JALAN SS 21/60, PETALING JAYA, 47400, PETALING JAYA, SELANGOR"
63C,Jalan Sultan,Kuala Lumpur,50000,KUALA LUMPUR,WP KUALA LUMPUR,"63C, JALAN SULTAN, KUALA LUMPUR, 50000, KUALA LUMPUR, WP KUALA LUMPUR"
20,Changkat Bukit Bintang,Kuala Lumpur,50200,KUALA LUMPUR,WP KUALA LUMPUR,"20, CHANGKAT BUKIT BINTANG, KUALA LUMPUR, 50200, KUALA LUMPUR, WP KUALA LUMPUR"
50,"Jalan Bunga Pekan, Kawasan Perindustrian Banting",Banting,42700,KUALA LANGAT,SELANGOR,"50, JALAN BUNGA PEKAN, KAWASAN PERINDUSTRIAN BANTING, BANTING, 42700, KUALA LANGAT, SELANGOR"
50,"Jalan Bunga Pekan, Kawasan Perindustrian Banting",Banting,42700,BANTING,SELANGOR,"50, JALAN BUNGA PEKAN, KAWASAN PERINDUSTRIAN BANTING, BANTING, 42700, BANTING, SELANGOR"
1,Gerbang Ampang Hilir,Kuala Lumpur,55000,KUALA LUMPUR,WP KUALA LUMPUR,"1, GERBANG AMPANG HILIR, KUALA LUMPUR, 55000, KUALA LUMPUR, WP KUALA LUMPUR"
107-4 & 107-5,Jalan Lama,Muar,84000,MUAR,JOHOR,"107-4 & 107-5, JALAN LAMA, MUAR, 84000, MUAR, JOHOR"
107-4 & 107-5,Jalan Lama,Muar,84000,LEDANG,JOHOR,"107-4 & 107-5, JALAN LAMA, MUAR, 84000, LEDANG, JOHOR"
The Tako,"Jalan Padang, Pekan Machang",Machang,18500,MACHANG,KELANTAN,"THE TAKO, JALAN PADANG, PEKAN MACHANG, MACHANG, 18500, MACHANG, KELANTAN"
Sunsuria Avenue,"Persiaran Mahogani, PJU 5, Kota Damansara",Petaling Jaya,47810,PETALING JAYA,SELANGOR,"SUNSURIA AVENUE, PERSIARAN MAHOGANI, PJU 5, KOTA DAMANSARA, PETALING JAYA, 47810, PETALING JAYA, SELANGOR"
369A,Jalan SS 9A/3,Petaling Jaya,47300,PETALING JAYA,SELANGOR,"369A, JALAN SS 9A/3, PETALING JAYA, 47300, PETALING JAYA, SELANGOR"
153A,Jalan SS 9A/1,Petaling Jaya,47300,PETALING JAYA,SELANGOR,"153A, JALAN SS 9A/1, PETALING JAYA, 47300, PETALING JAYA, SELANGOR"
115,Jalan Pantai Cenang,Langkawi,07000,LANGKAWI,KEDAH,"115, JALAN PANTAI CEG, LANGKAWI, 07000, LANGKAWI, KEDAH"
160,Jalan Kenanga 29/4,Kulai,81000,KOTA TINGGI,JOHOR,"160, JALAN KEGA 29/4, KULAI, 81000, KOTA TINGGI, JOHOR"
160,Jalan Kenanga 29/4,Kulai,81000,KULAIJAYA,JOHOR,"160, JALAN KEGA 29/4, KULAI, 81000, KULAIJAYA, JOHOR"
160,Jalan Kenanga 29/4,Kulai,81000,KULAI,JOHOR,"160, JALAN KEGA 29/4, KULAI, 81000, KULAI, JOHOR"
237A,Jalan Kenanga 29/8,Kulai,81000,KOTA TINGGI,JOHOR,"237A, JALAN KEGA 29/8, KULAI, 81000, KOTA TINGGI, JOHOR"
237A,Jalan Kenanga 29/8,Kulai,81000,KULAIJAYA,JOHOR,"237A, JALAN KEGA 29/8, KULAI, 81000, KULAIJAYA, JOHOR"
237A,Jalan Kenanga 29/8,Kulai,81000,KULAI,JOHOR,"237A, JALAN KEGA 29/8, KULAI, 81000, KULAI, JOHOR"
KM 4067,Jalan Utama Taman Kebaya,Alor Gajah,78000,ALOR GAJAH,MELAKA,"KM 4067, JALAN UTAMA TAMAN KEBAYA, ALOR GAJAH, 78000, ALOR GAJAH, MELAKA"
"03-09-06, Tower 3, UOA Business Park",Jalan Pengaturcara U1/51A,Shah Alam,40150,PETALING,SELANGOR,"03-09-06, TOWER 3, UOA BUSINESS PARK, JALAN PENGATURCARA U1/51A, SHAH ALAM, 40150, PETALING, SELANGOR"
"03-09-06, Tower 3, UOA Business Park",Jalan Pengaturcara U1/51A,Shah Alam,40150,SHAH ALAM,SELANGOR,"03-09-06, TOWER 3, UOA BUSINESS PARK, JALAN PENGATURCARA U1/51A, SHAH ALAM, 40150, SHAH ALAM, SELANGOR"
38-f,Jalan Dua,Bidor,35500,BIDOR,PERAK,"38-F, JALAN DUA, BIDOR, 35500, BIDOR, PERAK"
110,Jalan Baldwin 3,Tapah,35000,BATANG PADANG,PERAK,"110, JALAN BALDWIN 3, TAPAH, 35000, BATANG PADANG, PERAK"
110,Jalan Baldwin 3,Tapah,35000,TAPAH,PERAK,"110, JALAN BALDWIN 3, TAPAH, 35000, TAPAH, PERAK"
29A,Jalan Jelapang,Ipoh,30020,KINTA,PERAK,"29A, JALAN JELAPANG, IPOH, 30020, KINTA, PERAK"
29A,Jalan Jelapang,Ipoh,30020,IPOH,PERAK,"29A, JALAN JELAPANG, IPOH, 30020, IPOH, PERAK"
29,Jalan Jelapang,Ipoh,30020,KINTA,PERAK,"29, JALAN JELAPANG, IPOH, 30020, KINTA, PERAK"
29,Jalan Jelapang,Ipoh,30020,IPOH,PERAK,"29, JALAN JELAPANG, IPOH, 30020, IPOH, PERAK"
31,Jalan Jelapang,Ipoh,30020,KINTA,PERAK,"31, JALAN JELAPANG, IPOH, 30020, KINTA, PERAK"
31,Jalan Jelapang,Ipoh,30020,IPOH,PERAK,"31, JALAN JELAPANG, IPOH, 30020, IPOH, PERAK"
31,Jalan Jelapang,Ipoh,30020,KINTA,PERAK,"31, JALAN JELAPANG, IPOH, 30020, KINTA, PERAK"
31,Jalan Jelapang,Ipoh,30020,IPOH,PERAK,"31, JALAN JELAPANG, IPOH, 30020, IPOH, PERAK"
33,Jalan Jelapang,Ipoh,30020,KINTA,PERAK,"33, JALAN JELAPANG, IPOH, 30020, KINTA, PERAK"
33,Jalan Jelapang,Ipoh,30020,IPOH,PERAK,"33, JALAN JELAPANG, IPOH, 30020, IPOH, PERAK"
33,Jalan Jelapang,Ipoh,30020,KINTA,PERAK,"33, JALAN JELAPANG, IPOH, 30020, KINTA, PERAK"
33,Jalan Jelapang,Ipoh,30020,IPOH,PERAK,"33, JALAN JELAPANG, IPOH, 30020, IPOH, PERAK"
882A,Jalan Jelapang,Ipoh,30020,KINTA,PERAK,"882A, JALAN JELAPANG, IPOH, 30020, KINTA, PERAK"
882A,Jalan Jelapang,Ipoh,30020,IPOH,PERAK,"882A, JALAN JELAPANG, IPOH, 30020, IPOH, PERAK"
77,Jalan Changkat Thambi Dollah,Kuala Lumpur,55100,KUALA LUMPUR,WP KUALA LUMPUR,"77, JALAN CHANGKAT THAMBI DOLLAH, KUALA LUMPUR, 55100, KUALA LUMPUR, WP KUALA LUMPUR"
22A,Lorong Teras Jaya 9,Butterworth,13400,BUTTERWORTH,PULAU PINANG,"22A, LORONG TERAS JAYA 9, BUTTERWORTH, 13400, BUTTERWORTH, PULAU PIG"
20,Lorong Teras Jaya 9,Butterworth,13400,BUTTERWORTH,PULAU PINANG,"20, LORONG TERAS JAYA 9, BUTTERWORTH, 13400, BUTTERWORTH, PULAU PIG"
B-264 (ground floor),Jalan Beserah,Kuantan,25300,KUANTAN,PAHANG,"B-264 (GROUND FLOOR), JALAN BESERAH, KUANTAN, 25300, KUANTAN, PAHANG"
Lot 7,Jalan 51A/243,Petaling Jaya,46100,PETALING JAYA,SELANGOR,"LOT 7, JALAN 51A/243, PETALING JAYA, 46100, PETALING JAYA, SELANGOR"
"LOT 42432, G, 1F, 2F & 3F",Jalan Ecohill 1/2,Semenyih,43500,ULU LANGAT,SELANGOR,"LOT 42432, G, 1F, 2F & 3F, JALAN ECOHILL 1/2, SEMENYIH, 43500, ULU LANGAT, SELANGOR"
"LOT 42432, G, 1F, 2F & 3F",Jalan Ecohill 1/2,Semenyih,43500,SEMENYIH,SELANGOR,"LOT 42432, G, 1F, 2F & 3F, JALAN ECOHILL 1/2, SEMENYIH, 43500, SEMENYIH, SELANGOR"
100,"Jalan Sibu, Taman Wahyu",Kuala Lumpur,68100,GOMBAK,SELANGOR,"100, JALAN SIBU, TAMAN WAHYU, KUALA LUMPUR, 68100, GOMBAK, SELANGOR"
100,"Jalan Sibu, Taman Wahyu",Kuala Lumpur,68100,,WP KUALA LUMPUR,"100, JALAN SIBU, TAMAN WAHYU, KUALA LUMPUR, 68100, WP KUALA LUMPUR"
100,"Jalan Sibu, Taman Wahyu",Kuala Lumpur,68100,BATU CAVES,SELANGOR,"100, JALAN SIBU, TAMAN WAHYU, KUALA LUMPUR, 68100, BATU CAVES, SELANGOR"
11A;15,Lebuh Kurau 5,Perai,13700,SEBERANG PERAI TENGAH,PULAU PINANG,"11A;15, LEBUH KURAU 5, PERAI, 13700, SEBERANG PERAI TENGAH, PULAU PIG"
11A;15,Lebuh Kurau 5,Perai,13700,PERAI,PULAU PINANG,"11A;15, LEBUH KURAU 5, PERAI, 13700, PERAI, PULAU PIG"
15;17,Jalan Seri Berapit,Bukit Mertajam,14000,SEBERANG PERAI TENGAH,PULAU PINANG,"15;17, JALAN SERI BERAPIT, BUKIT MERTAJAM, 14000, SEBERANG PERAI TENGAH, PULAU PIG"
15;17,Jalan Seri Berapit,Bukit Mertajam,14000,SEBERANG PERAI UTARA,PULAU PINANG,"15;17, JALAN SERI BERAPIT, BUKIT MERTAJAM, 14000, SEBERANG PERAI UTARA, PULAU PIG"
15;17,Jalan Seri Berapit,Bukit Mertajam,14000,SEBERANG PERAI SELATAN,PULAU PINANG,"15;17, JALAN SERI BERAPIT, BUKIT MERTAJAM, 14000, SEBERANG PERAI SELATAN, PULAU PIG"
15;17,Jalan Seri Berapit,Bukit Mertajam,14000,BUKIT MERTAJAM,PULAU PINANG,"15;17, JALAN SERI BERAPIT, BUKIT MERTAJAM, 14000, BUKIT MERTAJAM, PULAU PIG"
36,Lorong 1/77a,Kuala Lumpur,55100,KUALA LUMPUR,WP KUALA LUMPUR,"36, LORONG 1/77A, KUALA LUMPUR, 55100, KUALA LUMPUR, WP KUALA LUMPUR"
26,Lorong 1/77a,Kuala Lumpur,55100,KUALA LUMPUR,WP KUALA LUMPUR,"26, LORONG 1/77A, KUALA LUMPUR, 55100, KUALA LUMPUR, WP KUALA LUMPUR"
55-G,Jalan Berangan,Kuala Lumpur,50200,KUALA LUMPUR,WP KUALA LUMPUR,"55-G, JALAN BERANGAN, KUALA LUMPUR, 50200, KUALA LUMPUR, WP KUALA LUMPUR"
LOT 235B,SEKSYEN 1,Pasir Puteh,16800,PASIR PUTEH,KELANTAN,"LOT 235B, SEKSYEN 1, PASIR PUTEH, 16800, PASIR PUTEH, KELANTAN"
6,Lorong Panggung,Kuala Lumpur,50000,KUALA LUMPUR,WP KUALA LUMPUR,"6, LORONG PANGGUNG, KUALA LUMPUR, 50000, KUALA LUMPUR, WP KUALA LUMPUR"
135,Jalan Petaling,Kuala Lumpur,50000,KUALA LUMPUR,WP KUALA LUMPUR,"135, JALAN PETALING, KUALA LUMPUR, 50000, KUALA LUMPUR, WP KUALA LUMPUR"
729,Jalan Ipoh,Kuala Lumpur,51200,KUALA LANGAT,WP KUALA LUMPUR,"729, JALAN IPOH, KUALA LUMPUR, 51200, KUALA LANGAT, WP KUALA LUMPUR"
729,Jalan Ipoh,Kuala Lumpur,51200,,WP KUALA LUMPUR,"729, JALAN IPOH, KUALA LUMPUR, 51200, WP KUALA LUMPUR"
729,Jalan Ipoh,Kuala Lumpur,51200,KUALA LUMPUR,WP KUALA LUMPUR,"729, JALAN IPOH, KUALA LUMPUR, 51200, KUALA LUMPUR, WP KUALA LUMPUR"
"Unit No 23-1, Block D, 1st Floor, Cyber Perdana Commercial Center",Lorong Cyber Perdana 1,Penampang,88200,KOTA KINABALU,SABAH,"UNIT NO 23-1, BLOCK D, 1ST FLOOR, CYBER PERDANA COMMERCIAL CENTER, LORONG CYBER PERDANA 1, PENAMPANG, 88200, KOTA KINABALU, SABAH"
68,Jalan Sibu,Kuala Lumpur,68100,GOMBAK,SELANGOR,"68, JALAN SIBU, KUALA LUMPUR, 68100, GOMBAK, SELANGOR"
68,Jalan Sibu,Kuala Lumpur,68100,,WP KUALA LUMPUR,"68, JALAN SIBU, KUALA LUMPUR, 68100, WP KUALA LUMPUR"
68,Jalan Sibu,Kuala Lumpur,68100,BATU CAVES,SELANGOR,"68, JALAN SIBU, KUALA LUMPUR, 68100, BATU CAVES, SELANGOR"
1764,Jalan Kulim,Bukit Mertajam,14000,SEBERANG PERAI TENGAH,PULAU PINANG,"1764, JALAN KULIM, BUKIT MERTAJAM, 14000, SEBERANG PERAI TENGAH, PULAU PIG"
1764,Jalan Kulim,Bukit Mertajam,14000,SEBERANG PERAI UTARA,PULAU PINANG,"1764, JALAN KULIM, BUKIT MERTAJAM, 14000, SEBERANG PERAI UTARA, PULAU PIG"
1764,Jalan Kulim,Bukit Mertajam,14000,SEBERANG PERAI SELATAN,PULAU PINANG,"1764, JALAN KULIM, BUKIT MERTAJAM, 14000, SEBERANG PERAI SELATAN, PULAU PIG"
1764,Jalan Kulim,Bukit Mertajam,14000,BUKIT MERTAJAM,PULAU PINANG,"1764, JALAN KULIM, BUKIT MERTAJAM, 14000, BUKIT MERTAJAM, PULAU PIG"
2741,Jalan Kulim,Bukit Mertajam,14000,SEBERANG PERAI TENGAH,PULAU PINANG,"2741, JALAN KULIM, BUKIT MERTAJAM, 14000, SEBERANG PERAI TENGAH, PULAU PIG"
2741,Jalan Kulim,Bukit Mertajam,14000,SEBERANG PERAI UTARA,PULAU PINANG,"2741, JALAN KULIM, BUKIT MERTAJAM, 14000, SEBERANG PERAI UTARA, PULAU PIG"
2741,Jalan Kulim,Bukit Mertajam,14000,SEBERANG PERAI SELATAN,PULAU PINANG,"2741, JALAN KULIM, BUKIT MERTAJAM, 14000, SEBERANG PERAI SELATAN, PULAU PIG"
2741,Jalan Kulim,Bukit Mertajam,14000,BUKIT MERTAJAM,PULAU PINANG,"2741, JALAN KULIM, BUKIT MERTAJAM, 14000, BUKIT MERTAJAM, PULAU PIG"
4166,Jalan Kampung Benggali,Butterworth,12000,SEBERANG PERAI UTARA,PULAU PINANG,"4166, JALAN KAMPUNG BENGGALI, BUTTERWORTH, 12000, SEBERANG PERAI UTARA, PULAU PIG"
4166,Jalan Kampung Benggali,Butterworth,12000,BUTTERWORTH,PULAU PINANG,"4166, JALAN KAMPUNG BENGGALI, BUTTERWORTH, 12000, BUTTERWORTH, PULAU PIG"
A-G-8,Jalan Kepayang,Kuala Lumpur,51200,KUALA LANGAT,WP KUALA LUMPUR,"A-G-8, JALAN KEPAYANG, KUALA LUMPUR, 51200, KUALA LANGAT, WP KUALA LUMPUR"
A-G-8,Jalan Kepayang,Kuala Lumpur,51200,,WP KUALA LUMPUR,"A-G-8, JALAN KEPAYANG, KUALA LUMPUR, 51200, WP KUALA LUMPUR"
A-G-8,Jalan Kepayang,Kuala Lumpur,51200,KUALA LUMPUR,WP KUALA LUMPUR,"A-G-8, JALAN KEPAYANG, KUALA LUMPUR, 51200, KUALA LUMPUR, WP KUALA LUMPUR"
B-G-13,Boulevard Business Park,Kuala Lumpur,51200,KUALA LANGAT,WP KUALA LUMPUR,"B-G-13, BOULEVARD BUSINESS PARK, KUALA LUMPUR, 51200, KUALA LANGAT, WP KUALA LUMPUR"
B-G-13,Boulevard Business Park,Kuala Lumpur,51200,,WP KUALA LUMPUR,"B-G-13, BOULEVARD BUSINESS PARK, KUALA LUMPUR, 51200, WP KUALA LUMPUR"
B-G-13,Boulevard Business Park,Kuala Lumpur,51200,KUALA LUMPUR,WP KUALA LUMPUR,"B-G-13, BOULEVARD BUSINESS PARK, KUALA LUMPUR, 51200, KUALA LUMPUR, WP KUALA LUMPUR"
53,Jalan Perdana,Kuala Lumpur,50480,KUALA LUMPUR,WP KUALA LUMPUR,"53, JALAN PERDANA, KUALA LUMPUR, 50480, KUALA LUMPUR, WP KUALA LUMPUR"
65,Jalan Leong Sin Nam,Ipoh,30300,IPOH,PERAK,"65, JALAN LEONG SIN NAM, IPOH, 30300, IPOH, PERAK"
147,Jalan SS 9A/1,Petaling Jaya,47300,PETALING JAYA,SELANGOR,"147, JALAN SS 9A/1, PETALING JAYA, 47300, PETALING JAYA, SELANGOR"
A6B,Persiaran Dahlia 2,Pasir Gudang,81700,PASIR GUDANG,JOHOR,"A6B, PERSIARAN DAHLIA 2, PASIR GUDANG, 81700, PASIR GUDANG, JOHOR"
1-13,Jalan SBBC 9,Sungai Besar,45300,SABAK BERNAM,SELANGOR,"1-13, JALAN SBBC 9, SUNGAI BESAR, 45300, SABAK BERNAM, SELANGOR"
1-13,Jalan SBBC 9,Sungai Besar,45300,SUNGAI BESAR,SELANGOR,"1-13, JALAN SBBC 9, SUNGAI BESAR, 45300, SUNGAI BESAR, SELANGOR"
508A,Jalan Sultan Azlan Shah,Kuala Lumpur,51200,KUALA LANGAT,WP KUALA LUMPUR,"508A, JALAN SULTAN AZLAN SHAH, KUALA LUMPUR, 51200, KUALA LANGAT, WP KUALA LUMPUR"
508A,Jalan Sultan Azlan Shah,Kuala Lumpur,51200,,WP KUALA LUMPUR,"508A, JALAN SULTAN AZLAN SHAH, KUALA LUMPUR, 51200, WP KUALA LUMPUR"
508A,Jalan Sultan Azlan Shah,Kuala Lumpur,51200,KUALA LUMPUR,WP KUALA LUMPUR,"508A, JALAN SULTAN AZLAN SHAH, KUALA LUMPUR, 51200, KUALA LUMPUR, WP KUALA LUMPUR"
B-06-02,"Second Floor, Garden Shopee@Jalan USJ 25/1A, One City",Subang Jaya,47650,SUBANG JAYA,SELANGOR,"B-06-02, SECOND FLOOR, GARDEN SHOPEE@JALAN USJ 25/1A, ONE CITY, SUBANG JAYA, 47650, SUBANG JAYA, SELANGOR"
B-09-01,"Perdana Selatan, Taman Serdang Perdana",Seri Kembangan,43300,ULU LANGAT,SELANGOR,"B-09-01, PERDANA SELATAN, TAMAN SERDANG PERDANA, SERI KEMBANGAN, 43300, ULU LANGAT, SELANGOR"
B-09-01,"Perdana Selatan, Taman Serdang Perdana",Seri Kembangan,43300,PETALING,SELANGOR,"B-09-01, PERDANA SELATAN, TAMAN SERDANG PERDANA, SERI KEMBANGAN, 43300, PETALING, SELANGOR"
B-09-01,"Perdana Selatan, Taman Serdang Perdana",Seri Kembangan,43300,SERI KEMBANGAN,SELANGOR,"B-09-01, PERDANA SELATAN, TAMAN SERDANG PERDANA, SERI KEMBANGAN, 43300, SERI KEMBANGAN, SELANGOR"
5,Jalan Lengkungan Brunei,Kuala Lumpur,55100,KUALA LUMPUR,WP KUALA LUMPUR,"5, JALAN LENGKUNGAN BRUNEI, KUALA LUMPUR, 55100, KUALA LUMPUR, WP KUALA LUMPUR"
1,Jalan Perdana 23,Batu Pahat,83000,BATU PAHAT,JOHOR,"1, JALAN PERDANA 23, BATU PAHAT, 83000, BATU PAHAT, JOHOR"
